dir,split,n_rows,vpn_rate,datasets
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,train,40583,0.2637311189414287,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/leave_two_out/iscx,test,55081,0.1513952179517438,"usbvpn,vnat"
artifacts/leave_two_out/iscx,train,9561,0.23669072272774813,iscx
artifacts/leave_two_out/iscx,val,2220,0.30585585585585584,iscx
artifacts/leave_two_out/usbvpn,test,14680,0.20122615803814714,"iscx,vnat"
artifacts/leave_two_out/usbvpn,train,41245,0.14428415565523095,usbvpn
artifacts/leave_two_out/usbvpn,val,10937,0.21724421687848589,usbvpn
artifacts/leave_two_out/vnat,test,63963,0.1761799790503885,"iscx,usbvpn"
artifacts/leave_two_out/vnat,train,2487,0.002010454362685967,vnat
artifacts/leave_two_out/vnat,val,412,0.01699029126213592,vnat
artifacts/lood_firewall_tuned/hold_iscx,test,11781,0.24972413207707325,iscx
artifacts/lood_firewall_tuned/hold_iscx,train,41230,0.18724229929662867,"usbvpn,vnat"
artifacts/lood_firewall_tuned/hold_iscx,val,6634,0.029092553512209827,"usbvpn,vnat"
artifacts/lood_firewall_tuned/hold_usbvpn,test,52182,0.15957609903798245,usbvpn
artifacts/lood_firewall_tuned/hold_usbvpn,train,10645,0.2478158759981212,"iscx,vnat"
artifacts/lood_firewall_tuned/hold_usbvpn,val,2350,0.03489361702127659,"iscx,vnat"
artifacts/lood_firewall_tuned/hold_vnat,test,2899,0.004139358399448086,vnat
artifacts/lood_firewall_tuned/hold_vnat,train,47137,0.21936058722447335,"iscx,usbvpn"
artifacts/lood_firewall_tuned/hold_vnat,val,8738,0.03147173266193637,"iscx,usbvpn"
artifacts/thesis_finalization/lodo_test_iscx,test,19251,0.18149706508752791,"iscx,usbvpn,vnat"
artifacts/thesis_finalization/lodo_test_iscx,train,46566,0.17336683417085427,"usbvpn,vnat"
artifacts/thesis_finalization/lodo_test_iscx,val,6795,0.030316409124356146,"usbvpn,vnat"
artifacts/thesis_finalization/lodo_test_usbvpn,test,54594,0.16142799575044878,"iscx,usbvpn,vnat"
artifacts/thesis_finalization/lodo_test_usbvpn,train,15625,0.183424,"iscx,vnat"
artifacts/thesis_finalization/lodo_test_usbvpn,val,2393,0.03928123694107814,"iscx,vnat"
artifacts/thesis_finalization/lodo_test_vnat,test,16233,0.06345099488695867,"iscx,usbvpn,vnat"
artifacts/thesis_finalization/lodo_test_vnat,train,47523,0.22025124676472446,"iscx,usbvpn"
artifacts/thesis_finalization/lodo_test_vnat,val,8856,0.03116531165311653,"iscx,usbvpn"
