dir,status,split,calibration,n,n_vpn,auc,pr_auc
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,3-DS ✅,test,platt,8733,782,0.9368365895843498,0.7006437723692812
artifacts/experiments/feature_leakage_reduction/exp_3f-core,3-DS ✅,test,platt,8733,782,0.9347233422359008,0.6931070566186947
artifacts/ensemble/diverse_bagging_robust13,3-DS ✅,test,platt,9384,1289,0.9223566060709448,0.7440482417232221
artifacts/thesis_finalization/lodo_test_vnat,2-DS (by design),test,platt,16233,1030,0.8480983249984513,0.308456638943633
artifacts/lood_firewall_tuned/hold_usbvpn,2-DS (by design),test,platt,52182,8327,0.7404548163479172,0.40706639219362345
artifacts/experiments/exp_e_adversarial,3-DS ✅,test,platt,8733,782,0.7298488407737804,0.19485559680076187
artifacts/thesis_finalization/lodo_test_iscx,2-DS (by design),test,platt,19251,3494,0.6485012666797421,0.2433642058373014
artifacts/ensemble/lood_usbvpn,2-DS (by design),test,platt,6810,423,0.5798389607140094,0.20426118856757508
artifacts/lood_firewall_tuned/hold_vnat,2-DS (by design),test,platt,2899,12,0.49965361967440247,0.00448747694461895
artifacts/thesis_finalization/lodo_test_usbvpn,2-DS (by design),test,platt,54594,8813,0.4830651258688692,0.1694703357940486
artifacts/leave_two_out/usbvpn,2-DS (by design),test,platt,14680,2954,0.4330801697435613,0.17201176039234206
artifacts/leave_two_out/vnat,2-DS (by design),test,platt,63963,11269,0.4216318553481045,0.25633345077268993
artifacts/lood_firewall_tuned/hold_iscx,2-DS (by design),test,platt,11781,2942,0.4116180731076484,0.2060490145729368
artifacts/leave_two_out/iscx,2-DS (by design),test,platt,55081,8339,0.29120351513416215,0.10017500222719894
artifacts/ensemble/lood_vnat,2-DS (by design),test,platt,407,3,0.2863036303630363,0.006634905988725754
artifacts/ensemble/lood_iscx,2-DS (by design),test,platt,1278,231,0.27911121034330205,0.13631896807023994
artifacts/experiments/baseline_2ds,2-DS (by design),test,platt,1890,357,0.22410516718102771,0.13752780151722638
artifacts/balanced_subset/full,3-DS ✅,test,raw,8495,657,0.9964235821038123,0.9759800222587348
artifacts/balanced_subset/balanced,3-DS ✅,test,raw,8495,657,0.9960652994834904,0.9715035107941026
artifacts/ensemble/diverse_bagging_robust9,3-DS ✅,test,raw,9384,1289,0.9903070644322105,0.9702405263998235
artifacts/experiments/exp_b_balanced,3-DS ✅,test,raw,8733,782,0.9893784371732102,0.9128099627959292
artifacts/experiments/exp_b_balanced_sample,3-DS ✅,test,raw,8495,657,0.9877238198325838,0.8947507052010578
artifacts/ensemble/diverse_bagging_robust,3-DS ✅,test,raw,8495,657,0.9876199275822467,0.8930568679134823
artifacts/balanced_bagging,3-DS ✅,test,raw,8495,657,0.9876113831728732,0.8905400883209225
artifacts/balanced_bagging_firewall_tuned_ensemble,3-DS ✅,test,raw,8495,657,0.9862165083426446,0.893252664822406
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,3-DS ✅,test,raw,8495,657,0.9862165083426446,0.893252664822406
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,3-DS ✅,test,raw,8495,657,0.9862165083426446,0.893252664822406
artifacts/experiments/baseline_3ds,3-DS ✅,test,raw,8733,782,0.9862092496850112,0.8967774615728303
artifacts/experiments/exp_f1_light_balance,3-DS ✅,test,raw,8733,782,0.985870377417179,0.8936059923152104
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,3-DS ✅,test,raw,8514,672,0.984073756542913,0.8691008213943983
artifacts/experiments/exp_d_iat_expanded,3-DS ✅,test,raw,8495,657,0.9839271892039056,0.8761976558163195
artifacts/experiments/exp_f7_cat-heavy,3-DS ✅,test,raw,8733,782,0.9822043005737509,0.8183518880507064
artifacts/experiments/exp_f6_ratio_1_5,3-DS ✅,test,raw,8733,782,0.9820942113154066,0.8052260747090761
artifacts/experiments/exp_f2_strict_reg,3-DS ✅,test,raw,8733,782,0.9815267168697274,0.7881956971637628
artifacts/experiments/exp_c_combined,3-DS ✅,test,raw,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/exp_d1_safe_expanded,3-DS ✅,test,raw,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/exp_d2_full_expanded,3-DS ✅,test,raw,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/exp_d_iat_balanced,3-DS ✅,test,raw,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/ablation_4f_no_p75,3-DS ✅,test,raw,8495,657,0.9811333615298843,0.7766400108414736
artifacts/experiments/exp_f4_diverse_bagging,3-DS ✅,test,raw,8733,782,0.9810044965310223,0.777363541873997
artifacts/experiments/exp_f7_xgb-heavy,3-DS ✅,test,raw,8733,782,0.9808018486632157,0.8075868833038846
artifacts/experiments/exp_f7_lgbm-heavy,3-DS ✅,test,raw,8733,782,0.9798093566058863,0.7964005494472259
artifacts/ensemble/balanced_ensemble_robust9,3-DS ✅,test,raw,3351,1251,0.9793388146625557,0.9791742727049163
artifacts/experiments/exp_f6_ratio_2_0,3-DS ✅,test,raw,8733,782,0.9790589965842577,0.7664722247653442
artifacts/experiments/exp_f6_ratio_3_0,3-DS ✅,test,raw,8733,782,0.9790589965842577,0.7664722247653442
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,3-DS ✅,test,raw,8733,782,0.9777299643178922,0.8722256158575122
artifacts/experiments/exp_a_no_direction,3-DS ✅,test,raw,8733,782,0.9752240465176573,0.7321726374654176
