model_id,family,feature_family,n_features,pooled_auc,pooled_pr_auc,session_auc,recall,fpr,tp,fp,tn,fn,worst_domain_recall,worst_domain_fpr,lodo_iscx_auc,lodo_usbvpn_auc,lodo_vnat_auc,lodo_mean_auc,lodo_min_auc,domain_auc,domain_acc,ece,threshold_instability,runtime_compatible,final_score,dann_lambda,enc_hidden,dropout,batch_norm,balanced,input_domain_auc,embedding_domain_auc,domain_reduction,deployment_eligible,deployment_final_score,dann_research_score,groupdro
robust9_clean__bagging,bagging,robust9_clean,9,0.994677499374312,0.8875894708696023,0.957095709570957,0.6709401709401709,0.0029800466442083,157.0,23.0,7695.0,77.0,0.0,0.0219675262655205,0.3918575852673274,,0.3353960396039603,0.3636268124356439,0.3353960396039603,1.0,1.0,0.0309009326628667,0.0220444411698296,True,0.0039731023636081,,,,,,,,,True,0.2539731023636081,,
robust9_clean__calibrated_ensemble,calibrated_ensemble,robust9_clean,9,0.9833807859526958,0.7206905846474615,0.8118811881188118,0.9871794871794872,0.044311997926924,231.0,342.0,7376.0,3.0,0.0,0.3247373447946514,0.3918575852673274,,0.3353960396039603,0.3636268124356439,0.3353960396039603,1.0,1.0,0.0198366700723432,0.0220444411698296,True,-0.0790408268060711,,,,,,,,,True,0.170959173193929,,
dann_v2__lam2.0_enc32x16_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9442672584678286,0.2540223143361137,0.8382838283828383,0.1153846153846153,0.0085514381964239,27.0,66.0,7652.0,207.0,,,0.5902670931288464,,0.419293384135781,0.5047802386323137,0.419293384135781,0.999980308267574,,0.0899394737512917,0.0,True,0.1493630987871061,2.0,"[32, 16]",0.2,1.0,both,0.999980308267574,0.9996710724540178,0.0003092358135562,True,0.149363098787106,0.6246677543420801,
dann_v2__lam1.0_enc64x32_do0.2_bn1_balclass,dann_v2,full_canonical,34,0.985763106778914,0.7378179740572738,0.9537953795379538,0.7649572649572649,0.0058305260430163,179.0,45.0,7673.0,55.0,,,0.5865690947410389,,0.3999538159565869,0.4932614553488129,0.3999538159565869,0.999980308267574,,0.1018638592144717,0.0,True,0.1212674736956514,1.0,"[64, 32]",0.2,1.0,class,0.999980308267574,0.999702210263448,0.0002780980041259,True,0.1212674736956514,0.664313566648382,
dann_v2__lam2.0_enc128x64_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9602250704867964,0.258204797050015,0.8877887788778878,0.1965811965811965,0.0202124902824565,46.0,156.0,7562.0,188.0,,,0.5599896448046475,,0.4200005773005427,0.4899951110525951,0.4200005773005427,0.999980308267574,,0.0744331330381648,0.0,True,0.12103165911385,2.0,"[128, 64]",0.2,1.0,both,0.999980308267574,0.9996539294946148,0.0003263787729591,True,0.1210316591138503,0.6413997669742878,
dann_v2__lam1.0_enc64x32_do0.2_bn1_balnone,dann_v2,full_canonical,34,0.9787338068628556,0.5115802904951414,0.9240924092409242,0.6068376068376068,0.0190463850738533,142.0,147.0,7571.0,92.0,,,,,,,,0.999980308267574,,0.0113880838443599,0.0,True,0.9426682574847824,1.0,"[64, 32]",0.2,1.0,none,0.999980308267574,0.9999389383275558,4.1369940018243234e-05,False,,0.6726652315809464,
dann_v2__lam0.5_enc32x16_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.971130867347504,0.4508998342824518,0.8976897689768977,0.235042735042735,0.0106245141228297,55.0,82.0,7636.0,179.0,,,,,,,,0.999980308267574,,0.0857186670515587,0.0,True,0.9337640408600458,0.5,"[32, 16]",0.2,1.0,both,0.999980308267574,0.999882616182492,9.769208508203509e-05,False,,0.6518974462578787,
dann_v2__lam0.1_enc128x64_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9785361337576938,0.4796673656978996,0.9372937293729372,0.5512820512820513,0.0203420575278569,129.0,157.0,7561.0,105.0,,,,,,,,0.999980308267574,,0.0705497096152189,0.0,True,0.924314805524979,0.1,"[128, 64]",0.2,1.0,both,0.999980308267574,0.9999936477762288,-1.333950865489708e-05,False,,0.66035968599621,
dann_v2__lam1.0_enc32x16_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9656381020724116,0.3159114874014369,0.8547854785478548,0.1666666666666666,0.0107540813682301,39.0,83.0,7635.0,195.0,,,,,,,,0.999980308267574,,0.0964153624811439,0.0,True,0.9225219206941336,1.0,"[32, 16]",0.2,1.0,both,0.999980308267574,0.9998923767472448,8.793152032915419e-05,False,,0.6442365002783634,
dann_v2__lam0.1_enc32x16_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9646475217218934,0.314048385654336,0.8877887788778878,0.1495726495726495,0.011790619331433,35.0,91.0,7627.0,199.0,,,,,,,,0.999980308267574,,0.0800895741607893,0.0,True,0.922516576650941,0.1,"[32, 16]",0.2,1.0,both,0.999980308267574,0.9999115281262382,6.878014133582244e-05,False,,0.6462980245855775,
dann_v2__lam0.5_enc64x32_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9617743403698316,0.3930180972558677,0.9273927392739274,0.2649572649572649,0.0133454262762373,62.0,103.0,7615.0,172.0,,,,,,,,0.999980308267574,,0.055532184072526,0.0,True,0.920415166113012,0.5,"[64, 32]",0.2,1.0,both,0.999980308267574,0.9999994654660206,-1.9157198446584367e-05,False,,0.6479989786602728,
dann_v2__lam2.0_enc64x32_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9659121866299892,0.339965906545926,0.8712871287128712,0.235042735042735,0.0098471106504275,55.0,76.0,7642.0,179.0,,,,,,,,0.999980308267574,,0.1154866719721199,0.0,True,0.92000770136516,2.0,"[64, 32]",0.2,1.0,both,0.999980308267574,0.9999778211735882,2.487093985759081e-06,False,,0.6408520837534033,
dann_v2__lam1.0_enc64x32_do0.2_bn1_baldomain,dann_v2,full_canonical,34,0.9526381884505752,0.2274741824864459,0.8514851485148515,0.1025641025641025,0.0128271572946359,24.0,99.0,7619.0,210.0,,,,,,,,0.999980308267574,,0.0252173078258257,0.0,True,0.9156599341058328,1.0,"[64, 32]",0.2,1.0,domain,0.999980308267574,0.9998502567539674,0.0001300515136065,False,,0.6450742184002927,
dann_v2__lam5.0_enc128x64_do0.2_bn1_balboth,dann_v2,full_canonical,34,0.9586104632748842,0.2517043515837053,0.891089108910891,0.0341880341880341,0.0111427831044312,8.0,86.0,7632.0,226.0,,,,,,,,0.999980308267574,,0.0812511781256457,0.0,True,0.914825657821892,5.0,"[128, 64]",0.2,1.0,both,0.999980308267574,0.9998405695958892,0.0001397386716847,False,,0.640179500150102,
